Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage
Area 24,TN20033 ,Lilongwe,Lilongwe,Grid,Prepaid,600,585,0,485,100,20987,21049,62, 1.6 ,0,0,0,0
Area 24 Market,TN20032 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,690,0,675,15,2987,2993,6, 2.5 ,0,0,0,0
Mpamantha,TN26016 ,Lilongwe,Nkhotakota,Grid,Prepaid,1000,570,455,705,320,1296,1373,77, 4.2 ,0,0,0,0
Area 36 TC,TN20055 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,200,815,135,7752,7797,45, 3.0 ,0,0,0,0
Area 38,TN20057 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,570,30,7828,7840,12, 2.5 ,0,0,0,0
Area 36 Katantha,TN20052 ,Lilongwe,Lilongwe,Grid,Prepaid,600,460,0,440,20,16165,16172,7, 2.9 ,0,0,0,0
Bunda T/O,TN20087 ,Lilongwe,Lilongwe,Grid,Prepaid,600,460,0,445,15,9440,9446,6, 2.5 ,0,0,0,0
Bus Depot,TN20130 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,0,500,0,1945,1945,0,#DIV/0!,0,0,0,0
Bwalo lanjovu,TN20088 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,151,250,378,23,10445,10458,13, 1.8 ,0,0,0,0
Old Town,TN20133 ,Lilongwe,Lilongwe,Grid,Prepaid,500,480,0,460,20,10251,10258,7, 2.9 ,0,0,0,0
Kabwazi,TN22006 ,Lilongwe,Dedza,Grid,Prepaid,600,570,0,550,20,14058,14078,20, 1.0 ,0,0,0,0
Area 3 Proper,TN20043 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,0,100,0,6998,6998,0,#DIV/0!,0,0,0,0
Area 3 bwaila,TN20044 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,350,600,50,8596,8608,12, 4.2 ,0,0,0,0
Area 3 Police,TN20046 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,235,600,235,6740,6822,82, 2.9 ,0,0,0,0
MTSILIZA,TN20151 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,590,216,596,210,5536,5620,84, 2.5 ,0,0,0,0
Area 47 ABC,TN20065 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,238,600,238,14222,14315,93, 2.6 ,0,0,0,0
Area 47 Bwandilo,TN20066 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,690,376,830,236,2923,3112,189, 1.2 ,0,0,0,0
Area 9,TN20081 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,920,0,880,40,10626,10639,13, 3.1 ,0,0,0,0
Game shop/Site,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,200,200,66,200,66,1497,1518,21, 3.1 ,0,0,0,0
Kaphatenga,TN27007 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,963,37,10002,10017,15, 2.5 ,0,0,0,0
Khombedza,TN27009 ,Lilongwe,Salima,Grid,Prepaid,600,600,222,600,222,536,622,86, 2.6 ,0,0,0,0
Kapiri,TN26022 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,576,24,8499,8515,16, 1.5 ,0,0,0,0
Sani,TN26012 ,Lilongwe,Nkhotakota,Off Grid,Prepaid,600,600,430,600,430,12802,12975,173, 2.5 ,0,0,0,0
Nkhota- kota,TN26010 ,Lilongwe,Nkhotakota,Grid,Prepaid,1000,824,0,782,42,3233,3250,17, 2.5 ,0,0,0,0
Airwing,TN20210 ,Lilongwe,Lilongwe,Grid,Prepaid,600,530,786,600,716,15748,16079,331, 2.2 ,0,0,0,0
Benga,TN26015 ,Lilongwe,Salima,Off Grid,Prepaid,600,528,115,600,43,17147,17168,21, 2.0 ,0,0,0,0
Salima MTL,TN27018 ,Lilongwe,Salima,Grid,Prepaid,600,290,0,290,0,1796,1174,-622, -   ,0,0,0,0
Area 12 Proper,TN20214 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,20,0,20,0,371,371,0,#DIV/0!,0,0,0,0
Livingstonia beach,TN27012 ,Lilongwe,Salima,Grid,Prepaid,500,485,0,485,0,17117,17117,0,#DIV/0!,0,0,0,0
Lifidzi,TN27010 ,Lilongwe,Salima,Grid,Prepaid,1000,1000,0,950,50,3257,3265,8, 6.3 ,0,0,0,0
Bisai,TN22020 ,Lilongwe,Dedza,Grid,Prepaid,1000,830,438,1000,268,2343,2447,104, 2.6 ,0,0,0,0
Ngodzi,TN27016 ,Lilongwe,Salima,Grid,Prepaid,1000,700,0,648,52,12487,12508,21, 2.5 ,0,0,0,0
Mua,TN27014 ,Lilongwe,Dedza,Grid,Prepaid,600,600,290,600,290,21419,21527,108, 2.7 ,0,0,0,0
Mtakataka,TN27013 ,Lilongwe,Dedza,Grid,Prepaid,600,600,152,475,277,15227,15328,101, 2.7 ,0,0,0,0
Chankhungu,TN25003 ,Lilongwe,Lilongwe,Grid,Prepaid,600,450,0,408,42,16279,16300,21, 2.0 ,0,0,0,0
Mvera Proper,TN24014 ,Lilongwe,Salima,Grid,Prepaid,500,443,0,443,0,8234,8234,0,#DIV/0!,0,0,0,0
Mabulabo,TN25018 ,Lilongwe,Mzimba,Off Grid,Prepaid,800,800,0,670,130,35592,35603,11, 11.8 ,0,0,0,0
Nkhamenya,TN25021 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,0,440,60,4756,4785,29, 2.1 ,0,0,0,0
Chatoloma,TN25004 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,460,1000,460,932,1017,85, 5.4 ,0,0,0,0
East African Plantation,TN25028 ,Lilongwe,Kasungu,Grid,Prepaid,225,200,0,200,0,3282,3282,0,#DIV/0!,0,0,0,0
Malandi Hill,TN24022 ,Lilongwe,Dowa,Grid,Prepaid,1000,1000,313,1000,313,1797,1867,70, 4.5 ,0,0,0,0
Chayamba,TN25011 ,Lilongwe,Kasungu,Grid,Prepaid,1000,800,0,760,40,89,93,4, 10.0 ,0,0,0,0
Linyangwa,TN25017 ,Lilongwe,Kasungu,Prime,Prepaid,1000,1000,0,770,230,2748,2862,114, 2.0 ,0,0,0,0
Chioko,TN24019 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,353,1000,353,2208,2303,95, 3.7 ,0,0,0,0
Chamama,TN25002 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,0,500,0,16895,16895,0,#DIV/0!,0,0,0,0
Nkhakomisesa,TN25020 ,Lilongwe,Kasungu,Grid,Prepaid,600,600,0,414,186,15813,15874,61, 3.0 ,0,0,0,0
Madisi,TN24009 ,Lilongwe,Dowa,Grid,Prepaid,500,430,0,425,5,15724,15726,2, 2.5 ,0,0,0,0
Mchinji Town,TN28007 ,Lilongwe,Mchinji,Grid,Prepaid,1000,683,383,1000,66,1526,1559,33, 2.0 ,0,0,0,0
Mwimba,TN25019 ,Lilongwe,Kasungu,Grid,Prepaid,500,420,180,500,100,26406,26478,72, 1.4 ,0,0,0,0
Santhe,TN25023 ,Lilongwe,Mchinji,Grid,Prepaid,500,500,0,500,0,15690,15690,0,#DIV/0!,0,0,0,0
Kapirinthema,TN25010 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,0,0,500,19026,19051,25, 20.0 ,0,0,0,0
Nkanda,TN28009 ,Lilongwe,Mchinji,Grid,Prepaid,500,500,1081,830,751,1236,1956,720, 1.0 ,0,0,0,0
Kamwendo,TN28004 ,Lilongwe,Mchinji,Grid,Prepaid,1000,450,500,700,250,4496,4607,111, 2.3 ,0,0,0,0
Mchinji,TN28006 ,Lilongwe,Mchinji,Grid,Prepaid,600,366,491,600,257,17688,17825,137, 1.9 ,0,0,0,0
Mwami,TN28010 ,Lilongwe,Mchinji,Grid,Prepaid,600,474,249,600,123,12328,12364,36, 3.4 ,0,0,0,0
Mikundi,TN28008 ,Lilongwe,Mchinji,Grid,Prepaid,500,500,40,500,40,12915,12931,16, 2.5 ,0,0,0,0
Mpanda,TN24011 ,Lilongwe,Dowa,Grid,Prepaid,1000,830,108,668,270,4843,4974,131, 2.1 ,0,0,0,0
Kasungu Shop,TNMShop,Lilongwe,Kasungu,Grid,Prepaid,100,100,0,90,10,10355,10360,5, 2.0 ,0,0,0,0
Kanjuchi,TN15038 ,Lilongwe,Kasungu,Grid,Prepaid,1000,500,0,500,0,2091,2091,0,#DIV/0!,0,0,0,0
Salima Hospital,TN27020 ,Lilongwe,Salima,Grid,Prepaid,1000,1000,0,1000,0,7957,7957,0,#DIV/0!,0,0,0,0
Salima Depot,TN27019 ,Lilongwe,Salima,Grid,Prepaid,600,600,0,490,110,12661,12705,44, 2.5 ,0,0,0,0
Lifuwu,TN27011 ,Lilongwe,Salima,Prime,Prepaid,800,658,0,658,0,23532,23532,0,#DIV/0!,0,0,0,0
Silversand,TN27023 ,Lilongwe,Salima,Grid,Prepaid,600,450,506,600,356,13560,13707,147, 2.4 ,0,0,0,0
Kambiri,TN27005 ,Lilongwe,Salima,Grid,Prepaid,500,500,0,500,0,18369,18369,0,#DIV/0!,0,0,0,0
Flea Market,TN20107 ,Lilongwe,Lilongwe,Grid,Prepaid,600,0,0,0,0,3952,3952,0,#DIV/0!,0,0,0,0
Salima Shop,TNMShop,Lilongwe,Salima,Grid,Prepaid,120,180,0,180,0,5676,5676,0,#DIV/0!,0,0,0,0
Kauma,TN20122 ,Lilongwe,Lilongwe,Grid,Prepaid,600,560,200,498,262,6074,6145,71, 3.7 ,0,0,0,0
Area 6,TN20206 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,580,902,850,632,4388,4740,352, 1.8 ,0,0,0,0
Maliri,TN23085 ,Lilongwe,Lilongwe,Grid,Prepaid,100,600,415,600,415,1560,415,-1145,-0.4 ,0,0,0,0
Chisepo,TN24020 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,500,690,810,1429,1900,471, 1.7 ,0,0,0,0
Malangalanga SHOP,TN20140 ,Lilongwe,Lilongwe,Grid,Prepaid,35,22,0,22,0,803,803,0,#DIV/0!,0,0,0,0
M'buka,TN20054 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,600,0,650,650,0,#DIV/0!,0,0,0,0
Area 49 Mvama,TN20075 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,400,880,120,16467,16531,64, 1.9 ,0,0,0,0
Chilinde Parish,TN20094 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,740,650,540,850,7320,7549,229, 3.7 ,0,0,0,0
Chimutu,TN20099 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,650,800,610,840,3089,3445,356, 2.4 ,0,0,0,0
MCP/UNICEF,TN20136 ,Lilongwe,Lilongwe,Grid,Prepaid,600,535,50,550,35,20127,20137,10, 3.5 ,0,0,0,0
Maluwa,TN23202 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,537,837,450,1392,1529,137, 3.3 ,0,0,0,0
Chawantha,TN28011 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,243,243,600,1574,2028,454, 1.3 ,0,0,0,0
Kakoma estate,TN23201 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,1000,0,3397,3397,0,#DIV/0!,0,0,0,0
Nthumbidwa,TN17006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,0,0,0,0,1718,1718,0,#DIV/0!,0,0,0,0
TECHNICAL  NEW Dg,LLDC003,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,1000,0,648,648,0,#DIV/0!,0,0,0,0
Kabungwe,TN23204 ,Lilongwe,Mchinji,Grid,Prepaid,1000,1000,0,1000,0,2069,2069,0,#DIV/0!,0,0,0,0
Chilinde Mosque,TN20212 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,560,40,386,544,158, 0.3 ,0,0,0,0
Katete BYPASS,TN20051 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,570,847,707,710,9957,10183,226, 3.1 ,0,0,0,0
Area 25 A,TN20039 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,329,300,601,28,9709,9723,14, 2.0 ,0,0,0,0
LINTHIPE 3,TN22009 ,Lilongwe,Dedza,Grid,Prepaid,1000,700,500,520,680,8195,8369,174, 3.9 ,0,0,0,0
Area 49 New Shire,TN20076 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,573,0,566,7,12194,12197,3, 2.3 ,0,0,0,0
Chisinga,TN23099 ,Lilongwe,Kasungu,Grid,Prepaid,1000,930,0,840,90,8266,8287,21, 4.3 ,0,0,0,0
NEW GULLIVER,TN20174 ,Lilongwe,Lilongwe,Grid,Prepaid,600,596,0,561,35,14156,14170,14, 2.5 ,0,0,0,0
LUMBADZI RESIDENTIAL,TN20211 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,650,500,659,491,2622,2821,199, 2.5 ,0,0,0,0
MALEMBO,TN23135 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,0,750,0,4311,4315,4, -   ,0,0,0,0
WAKAWAKA,TN20056 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,570,675,375,870,6195,6586,391, 2.2 ,0,0,0,0
KAFUMU,TN27004 ,Lilongwe,Salima,Grid,Prepaid,1000,1000,0,860,140,3783,3839,56, 2.5 ,0,0,0,0
NKHOTA-KOTA NEW,TN26011 ,Lilongwe,Nkhotakota,Grid,Prepaid,600,600,442,600,442,15911,16071,160, 2.8 ,0,0,0,0
KASUNTHA,TN24006 ,Lilongwe,Dowa,Grid,Prepaid,1000,551,533,1000,84,4665,4759,94, 0.9 ,0,0,0,0
SALIMA SUGAR,TN27021 ,Lilongwe,Salima,Grid,Prepaid,500,400,101,500,1,32840,32912,72, 0.0 ,0,0,0,0
GUEST HOUSE AREA 10,TNMLLRes,Lilongwe,Lilongwe,Grid,Prepaid,60,70,0,70,0,677,677,0,#DIV/0!,0,0,0,0
AREA 47 MTL,TN20064 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,0,500,0,9706,9706,0,#DIV/0!,0,0,0,0
BWEMBA,TN20096 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,500,540,960,5692,6200,508, 1.9 ,0,0,0,0
AREA 49 BARGDAD,TN20071 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,570,1000,590,980,1009,1409,400, 2.5 ,0,0,0,0
AREA10 USAID,TN20009 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,771,0,770,1,5499,5508,9, 0.1 ,0,0,0,0
AREA 25 KABWABWA,TN20035 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,580,1322,1000,902,15348,15756,408, 2.2 ,0,0,0,0
AREA 25 Zibwenze,TN20042 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,480,0,480,0,7264,7264,0,#DIV/0!,0,0,0,0
AREA 36 LOWER,TN20053 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500,0,490,10,24409,24417,8, 1.3 ,0,0,0,0
UPPER BIWI,TN20172 ,Lilongwe,Lilongwe,Grid,Prepaid,600,50,0,50,0,6778,6778,0,#DIV/0!,0,0,0,0
WHITE FALLS,TN20006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,0,500,0,14011,14011,0,#DIV/0!,0,0,0,0
AREA 13,TN20012 ,Lilongwe,Lilongwe,Grid,Prepaid,600,798,0,798,0,1528,1528,0,#DIV/0!,0,0,0,0
Dedza Township,TN22005 ,Lilongwe,Dedza,Grid,Prepaid,1000,850,410,1000,260,4697,4875,178, 1.5 ,0,0,0,0
Area 18 Round About,TN20017 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,500,700,800,14104,14502,398, 2.0 ,0,0,0,0
Kasungu mapuloti,TN25014 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,865,1000,865,4816,5090,274, 3.2 ,0,0,0,0
Mponela,TN24012 ,Lilongwe,Ntchisi,Grid,Prepaid,1000,1000,950,1000,950,12434,12847,413, 2.3 ,0,0,0,0
AREA 38 EXT,TN20058 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,660,800,700,760,9584,9903,319, 2.4 ,0,0,0,0
AREA 22 A,TN20023 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,400,0,400,0,15001,15085,84, -   ,0,0,0,0
Nalikule,TN20152 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,919,1000,419,10957,11193,236, 1.8 ,0,0,0,0
AREA 2,TN20020 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,495,495,600,20008,20050,42, 14.3 ,0,0,0,0
AREA 47 sector 3,TN20067 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,800,750,650,13040,13381,341, 1.9 ,0,0,0,0
Kawale PTC,TN20192 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,352,0,250,102,13264,13272,8, 12.8 ,0,0,0,0
Salima MTL 2,TN27018 ,Lilongwe,Salima,Grid,Prepaid,2000,1500,0,1500,0,1814,1844,30, -   ,0,0,0,0
Dubai 2,TN20191 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,260,740,520,14113,14312,199, 2.6 ,0,0,0,0
ADL House,TN20001 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,0,620,0,2720,2720,0,#DIV/0!,0,0,0,0
AREA 43 UPPER,TN20062 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,710,0,700,10,8364,8365,1, 10.0 ,0,0,0,0
MCHESI 2,TN20144 ,Lilongwe,Lilongwe,Grid,Prepaid,600,371,0,347,24,16610,16634,24, 1.0 ,0,0,0,0
AREA 18 Chatuwa,TN20019 ,Lilongwe,Lilongwe,Grid,Prepaid,600,598,0,552,46,21375,21385,10, 4.6 ,0,0,0,0
MOGASA,TN20148 ,Lilongwe,Lilongwe,Grid,Prepaid,600,150,476,600,26,24557,24563,6, 4.3 ,0,0,0,0
CHISEKA,TN23190 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,549,1000,549,8382,8622,240, 2.3 ,0,0,0,0
MAGOMERO,TN23178 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,641,903,1000,544,8514,8774,260, 2.1 ,0,0,0,0
NDAULA,TN23205 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,570,600,632,538,6468,6685,217, 2.5 ,0,0,0,0
AREA 47 sector 2,TN20173 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,540,166,600,106,3575,3617,42, 2.5 ,0,0,0,0
KAMELA,TN28014 ,Lilongwe,Mchinji,Grid,Prepaid,1000,1000,535,1000,535,4430,4611,181, 3.0 ,0,0,0,0
TANDANJE,TN17005 ,Lilongwe,Ntchisi,Grid,Prepaid,1000,1000,400,900,500,7892,8148,256, 2.0 ,0,0,0,0
KAPELURA,TN25027 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,730,400,900,230,7230,7309,79, 2.9 ,0,0,0,0
LINDE MOTEL,TN24017 ,Lilongwe,Lilongwe,Grid,Prepaid,500,74,0,74,0,25606,25606,0,#DIV/0!,0,0,0,0
LOZI,TN26008 ,Lilongwe,Nkhotakota,Grid,Prepaid,600,600,0,600,0,20173,20173,0,#DIV/0!,0,0,0,0
AREA 47 SECTOR 4,TN20205 ,Lilongwe,Lilongwe,Grid,Prepaid,500,400,0,400,0,12676,12696,20, -   ,0,0,0,0
Pondomali,TN23191 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,0,600,0,3639,1528,-2111, -   ,0,0,0,0
Area 5 chilambula pagat,TN20079 ,Lilongwe,Lilongwe,Grid,Postpaid,600,3,0,3,0,870,870,0,#DIV/0!,0,0,0,0
Mlale Parish,TN23206 ,Lilongwe,Lilongwe,Grid,Prepaid,50,50,389,50,389,7894,7894,0,#DIV/0!,0,0,0,0
Mchezi,TN20145 ,Lilongwe,Lilongwe,Grid,Prepaid,65,200,500,200,500,164,6481,6317, 0.1 ,0,0,0,0
Chitipi TC,TN20103 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,1175,295,1480,2668,3204,536, 2.8 ,0,0,0,0
