Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Area 21,TN20093 ,Lilongwe,Lilongwe,Grid,Prepaid,600,352,287,600,39,192,212,20,2, -   , -   , -   , -   
Area 23,TN20024 ,Lilongwe,Lilongwe,Grid,Postpaid,500,300, -   ,300, -   ,12559,12559, -   ,#DIV/0!, -   , -   , -   , -   
Area 23 Extension,TN20028 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,200,500,690,10,4981,4985,4,2.5, -   , -   , -   , -   
Biwi Township,TN20084 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,187,784,23,2499,2507,8,2.9, -   , -   , -   , -   
Mbwatalika,TN23089 ,Lilongwe,Lilongwe,Grid,Prepaid,600,319, -   ,300,19,18686,18713,27,0.7, -   , -   , -   , -   
Chinsapo T/C,TN20098 ,Lilongwe,Lilongwe,Grid,Prepaid,600,500,538,988,50,3262,3282,20,2.5, -   , -   , -   , -   
Chisoso,TN24021 ,Lilongwe,Lilongwe,Grid,Postpaid,1000,180,810,900,90,2178,2273,95,0.9, -   , -   , -   , -   
Chitipi,TN20102 ,Lilongwe,Lilongwe,Grid,Prepaid,600,450, -   ,430,20,12742,12750,8,2.5, -   , -   , -   , -   
Gologota,TN20026 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,276,500,76,1234,1274,40,1.9, -   , -   , -   , -   
Kabudula,TN20109 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,660,1000,410,19652,19779,127,3.2, -   , -   , -   , -   
Kamuzu Barracks,TN20113 ,Lilongwe,Lilongwe,Grid,Prepaid,600,736, -   ,736, -   ,2309,2309, -   ,#DIV/0!, -   , -   , -   , -   
Kawale,TN20123 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,483,17,3626,3631,5,3.4, -   , -   , -   , -   
Likuni MTL,TN20128 ,Lilongwe,Lilongwe,Grid,Prepaid,100,400, -   ,400, -   ,29373,29373, -   ,#DIV/0!, -   , -   , -   , -   
Chakhaza,TN24018 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,560,720,1000,280,2657,2802,145,1.9, -   , -   , -   , -   
Area 23 Midlands,TN20029 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,538,600,538,22196,22397,201,2.7, -   , -   , -   , -   
Mphepo,TN25030 ,Lilongwe,Kasungu,Grid,Prepaid,1000,620,545,1000,165,2031,2104,73,2.3, -   , -   , -   , -   
Njewa,TN20158 ,Lilongwe,Lilongwe,Grid,Prepaid,600,315,420,620,115,6932,6976,44,2.6, -   , -   , -   , -   
NRC,TN20162 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,580,930,400,7179,7297,118,3.4, -   , -   , -   , -   
Nsalu,TN23164 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,800,309,1000,109,12954,13016,62,1.8, -   , -   , -   , -   
Nsundwe,TN23165 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500, -   ,460,40,17588,17615,27,1.5, -   , -   , -   , -   
Sports Complex,TN20134 ,Lilongwe,Lilongwe,Grid,Prepaid,60,60, -   ,40,20,3885,3885, -   ,#DIV/0!, -   , -   , -   , -   
State Residences,TN20115 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300, -   ,300, -   ,14468,14468, -   ,#DIV/0!, -   , -   , -   , -   
ARET,TN20082 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,448,100,448,30109,30252,143,3.1, -   , -   , -   , -   
AOG,TN20005 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,234,70,264,3335,3444,109,2.4, -   , -   , -   , -   
LL Office,TN20132 ,Lilongwe,Lilongwe,Grid,Prepaid,200,80,224,174,130,5524,5540,16,8.1, -   , -   , -   , -   
Technical centre 1,LLDC001,Lilongwe,Lilongwe,Grid,Prepaid,1000,800,333,1000,133,634,648,14,9.5, -   , -   , -   , -   
Technical centre 2 ,LLDC002,Lilongwe,Lilongwe,Grid,Prepaid,500,420,777,400,797,1926,1936,10,79.7, -   , -   , -   , -   
Area 25 Nsungwi,TN20166 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,219,500,19,508,517,9,2.1, -   , -   , -   , -   
Mgona,TN20155 ,Lilongwe,Lilongwe,Off Grid,Prepaid,600,522, -   ,510,12,12974,12977,3,4, -   , -   , -   , -   
Area 49 Dubai,TN20072 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,580, -   ,250,330,7660,7733,73,4.5, -   , -   , -   , -   
Dzenza,TN20105 ,Lilongwe,Lilongwe,Grid,Prepaid,500,150,384,500,34,14123,14131,8,4.3, -   , -   , -   , -   
Area 48,TN20069 ,Lilongwe,Lilongwe,Grid,Prepaid,600,491,496,600,387,16145,16291,146,2.7, -   , -   , -   , -   
AREA 4,TN20059 ,Lilongwe,Lilongwe,Grid,Prepaid,600,400,630,880,150,2689,2739,50,3, -   , -   , -   , -   
Mtandile,TN20150 ,Lilongwe,Lilongwe,Grid,Prepaid,600,80, -   ,16,64,26555,26750,195,0.3, -   , -   , -   , -   
Area 43 Extension,TN20063 ,Lilongwe,Lilongwe,Grid,Prepaid,600,580, -   ,460,120,2783,2789,6,20, -   , -   , -   , -   
Chiwamba,TN23103 ,Lilongwe,Lilongwe,Grid,Prepaid,600,311,200,424,87,10995,11030,35,2.5, -   , -   , -   , -   
Area 43 Africa House,TN20061 ,Lilongwe,Lilongwe,Grid,Prepaid,600,200,56,256, -   ,15933,15935,2,0, -   , -   , -   , -   
Lisandwa,TN25031 ,Lilongwe,Kasungu,Grid,Prepaid,1000,845,630,780,695,1471,1658,187,3.7, -   , -   , -   , -   
Area 30 Railways,TN20049 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,353,118,218,253,2385,2511,126,2, -   , -   , -   , -   
Area 25 C,TN20041 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,560, -   ,560, -   ,4178,4178, -   ,#DIV/0!, -   , -   , -   , -   
Kanengo Proper,TN20118 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600, -   ,600, -   ,3785,3785, -   ,#DIV/0!, -   , -   , -   , -   
Silos,TN20169 ,Lilongwe,Lilongwe,Grid,Prepaid,60,60,40,60,40,857,886,29,1.4, -   , -   , -   , -   
