Sites Name,Region,District,Site Status,ESCOM, Tank Size ,Opening  Litres , Litres Dispensed ,Closing Litres ,Usage in Litres , Opening Hours , Closing Hours , Hours Run , Average Usage Per Hour , Opening Readings , Units Bought , Closing Readings , Power Usage 
MPHEREMBE TC,North,MZIMBA,OFFGRID,PREPAID,1000,954, -   ,761,193,2799,2872,73,3,1020,2927,600,3347
Mzimba GOVERNMENT SCHO,North,Mzimba,Grid,Prepaid,1000,576,61,575,62,8290,8326,36,2,900,2561,841,2620
WOVWE,North,KARONGA,Grid,Prepaid,1000,366, -   ,366, -   ,6019,6019, -   ,#DIV/0!,2203, -   ,381,1822
MLALE,North,KARONGA,Grid,Prepaid,600,600, -   ,600, -   ,7636,7636, -   ,#DIV/0!,918,2927,1458,2387
CHINUNKHA,North,KARONGA,GRID,Prepaid,1000,845, -   ,834,11,1091,1098,7,2,8668, -   ,7186,1482
NGAZI,North,MZIMBA,OFFGRID,Prepaid,1000,922,888,1000,810,12853,13229,376,2, -   , -   , -   , -   
KAFOTEKA,North,MZIMBA,GRID,Prepaid, -   ,500,500,980,20,6363,6373,10,2,900,2561,800,2661
Mzimba TECHNICAL COLLEE,North,Mzimba,GRID,Prepaid, -   , -   , -   , -   , -   , -   , -   , -   ,#DIV/0!,600,2927,1069,2458
SONDA,North,Mzimba,GRID,Prepaid,50,50,40,50,40,9131,9157,26,2,1105,2927,1117,2915
Mzimba VHF,North,Mzimba,GRID,Prepaid,1000,863,157,934,86,1249,1283,34,3, -   , -   , -   , -   
KABOKO,North,Mzimba,GRID,Prepaid,600, -   , -   , -   , -   , -   , -   , -   ,#DIV/0!,987,2927,890,3024
KADIKECHI,North,MZIMBA,OFFGRID,Prepaid,1000,386,650,895,141,7218,7265,47,3, -   , -   , -   , -   
BWABWA,North,MZIMBA,OFFGRID,Prepaid,1000,1000, -   ,960,40,2649,2669,20,2, -   , -   , -   , -   
MUYEWA,North,Nkhata bay,OFFGRID,Prepaid,1000,1000,770,437,1333,8926,9452,526,3, -   , -   , -   , -   
MALAZA,North,Nkhata bay,GRID,Prepaid,1000,670, -   ,574,96,4380,4433,53,2,780,2927,500,3207
LISALE,North,Nkhata bay,GRID,Prepaid, -   ,500,1240,1000,740,6272,6661,389,2,1887,2927,1297,3517
ENDYONGOLENI,North,MZIMBA,OFFGRID,Prepaid,1000,1000, -   ,910,90,2447,2477,30,3, -   , -   , -   , -   
ENGALAWENI,North,MZIMBA,GRID,Prepaid,1000,595,405,1000, -   ,3013,3014,1, -   ,1654,2561,1524,2691
IPONGA,North,KARONGA,Grid,Prepaid,1000,918, -   ,918, -   ,2167,2167, -   ,#DIV/0!,1900, -   ,889,1011
MASASA,North,Mzimba,Grid,Prepaid,600,600,27,542,85,9935,9980,45,2,887,2561,1757,1691
MTWALO,North,MZIMBA,OFFGRID,Prepaid,1000,737, -   ,704,33,3217,3235,18,2,680,2561,1287,1954
AREA 6,North,Mzimba,Grid,Prepaid,1000,600, -   ,576,24,302,317,15,2,620,2561,800,2381
KAPOKA,North,CHITIPA,OFFGRID,Prepaid,600,600,182,600,182,5200,5248,48,4, -   , -   , -   , -   
MZIMBA DAPP,North,MZIMBA,OFFGRID,Prepaid,1000,236,1242,890,588,1726,1848,122,5, -   , -   , -   , -   
MZALANGWE,North,MZIMBA,OFFGRID,Prepaid,600,600, -   ,450,150,10204,10264,60,3, -   , -   , -   , -   
UZUMALA,North,RUMPHI,OFFGRID,Prepaid,600,400,495,600,295,14884,15057,173,2, -   , -   , -   , -   
MZIMBA TURN OFF,North,MZIMBA,OFFGRID,Prepaid,600,280,740,600,420,11614,11713,99,4, -   , -   , -   , -   
MTUPI,North,NKHOTAKOTA,OFFGRID,Prepaid,600,600,590,399,791,24504,24788,284,3, -   , -   , -   , -   
MSONGWE Mzimba,North,Mzimba,Grid,Prepaid,600,598, -   ,590,8,6872,6877,5,2,923,2561,1684,1800
ST ANDREWS Mzimba,North,Mzimba,OFFGRID,Prepaid,600,600,250,546,304,11187,11276,89,3,1090,2927,1269,2748
CHIZUMULU,North,LIKOMA,OFFGRID,Prepaid,1000,600,800,1000,400,1603,1715,112,4, -   , -   , -   , -   
DOROBA,North,Mzimba,Grid,Prepaid,300, -   , -   , -   , -   , -   , -   , -   ,#DIV/0!, -   , -   , -   , -   
MKOMBEZI,North,RUMPHI,OFFGRID,Prepaid,600,600,400,600,400,1543,1657,114,4, -   , -   , -   , -   
ULIWA,North,KARONGA,Grid,Prepaid,600,400, -   ,400, -   ,6989,6999,10, -   ,800,2561,1432,1929
BULA,North,Nkhata bay,OFFGRID,Prepaid,1000,1000, -   ,680,320,6538,6666,128,3, -   , -   , -   , -   
NTHUNGWA,North,MZIMBA,OFFGRID,Prepaid,1000,441,430,800,71,22908,22944,36,2, -   , -   , -   , -   
SANGA,North,Nkhata bay,OFFGRID,Prepaid,600, -   ,600,560,40,12480,12502,22,2, -   , -   , -   , -   
