Sites Name,Region,District,Site Status,Escom,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
MTSILIZA,Lilongwe,Lilongwe,Grid,Prepaid,1000,270,500,590,180,5464,5536,72,2.5, -   , -   , -   , -   
Area 47 ABC,Lilongwe,Lilongwe,Grid,Prepaid,600,600,550,600,550,14011,14222,211,2.6, -   , -   , -   , -   
Area 47 Bwandilo,Lilongwe,Lilongwe,Grid,Prepaid,1000,550,500,690,360,2802,2923,121,3, -   , -   , -   , -   
Area 9,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000, -   ,920,80,10594,10626,32,2.5, -   , -   , -   , -   
Game shop/Site,Lilongwe,Lilongwe,Grid,Prepaid,200,200, -   ,200, -   ,1497,1497, -   ,#DIV/0!, -   , -   , -   , -   
Kaphatenga,Lilongwe,Lilongwe,Grid,Prepaid,1000,700,416,1000,116,9992,10002,10,11.6, -   , -   , -   , -   
Khombedza,Lilongwe,Salima,Grid,Prepaid,600,558,75,600,33,512,536,24,1.4, -   , -   , -   , -   
Kapiri,Lilongwe,Lilongwe,Grid,Prepaid,600,340,365,600,105,8490,8499,9,11.7, -   , -   , -   , -   
Sani,Lilongwe,Nkhotakota,Off Grid,Prepaid,600,600,525,600,525,12604,12802,198,2.7, -   , -   , -   , -   
Nkhota- kota,Lilongwe,Nkhotakota,Grid,Prepaid,1000,600,500,824,276,3089,3233,144,1.9, -   , -   , -   , -   
Airwing,Lilongwe,Lilongwe,Grid,Prepaid,600,540,999,530,1009,15300,15748,448,2.3, -   , -   , -   , -   
Benga,Lilongwe,Salima,Off Grid,Prepaid,600,600, -   ,528,72,17105,17147,42,1.7, -   , -   , -   , -   
Salima MTL,Lilongwe,Salima,Grid,Prepaid,600,290, -   ,290, -   ,1796,1796, -   ,#DIV/0!, -   , -   , -   , -   
Area 12 Proper,Lilongwe,Lilongwe,Grid,Prepaid,1000,20, -   ,20, -   ,371,371, -   ,#DIV/0!, -   , -   , -   , -   
Livingstonia beach,Lilongwe,Salima,Grid,Prepaid,500,485, -   ,485, -   ,17117,17117, -   ,#DIV/0!, -   , -   , -   , -   
Lifidzi,Lilongwe,Salima,Grid,Prepaid,1000,1000, -   ,1000, -   ,3257,3257, -   ,#DIV/0!, -   , -   , -   , -   
Bisai,Lilongwe,Dedza,Grid,Prepaid,1000,500,700,830,370,2224,2343,119,3.1, -   , -   , -   , -   
Ngodzi,Lilongwe,Salima,Grid,Prepaid,1000,700, -   ,700, -   ,12487,12487, -   ,#DIV/0!, -   , -   , -   , -   
Mua,Lilongwe,Dedza,Grid,Prepaid,600,600, -   ,600, -   ,21419,21419, -   ,#DIV/0!, -   , -   , -   , -   
Mtakataka,Lilongwe,Dedza,Grid,Prepaid,600,600, -   ,600, -   ,15227,15227, -   ,#DIV/0!, -   , -   , -   , -   
Chankhungu,Lilongwe,Lilongwe,Grid,Prepaid,600,450, -   ,450, -   ,16279,16279, -   ,#DIV/0!, -   , -   , -   , -   
Mvera Proper,Lilongwe,Salima,Grid,Prepaid,500,500, -   ,443,57,8205,8234,29,2, -   , -   , -   , -   
Mabulabo,Lilongwe,Mzimba,Off Grid,Prepaid,800,690,306,800,196,35580,35592,12,16.3, -   , -   , -   , -   
Nkhamenya,Lilongwe,Kasungu,Grid,Prepaid,500,500,51,500,51,4736,4756,20,2.6, -   , -   , -   , -   
Chatoloma,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,288,1000,288,889,932,43,6.7, -   , -   , -   , -   
East African Plantation,Lilongwe,Kasungu,Grid,Prepaid,225,200, -   ,200, -   ,3282,3282, -   ,#DIV/0!, -   , -   , -   , -   
