 Sites Name , site ID , Region , District , Site Status (Grid/Prime) , ESCOM , Tank Size , Opening  Litres , Litres Dispensed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run , Average Usage Per Hour , Opening Readings , Units Bought , Closing Readings , Power Usage 
 Mikongoni Hill , TN45004 , South , Phalombe , OFF GRID ,, 600 , 905 , -   , 750 , 750 ," 5,568 "," 5,630 ", 62 , 12 ,, -   , -   , -   
 Thom Allan , TN30041 , South , Zomba , OFF GRID ,, 600 , 807 , 469 , 905 , 905 ," 8,379 "," 8,579 ", 200 , 5 ,, -   , -   , -   
 ZA CENTRAL Ex Likungwati , TN30029 , South , Zomba , GRID , PREPAID , 600 , 600 , -   , 600 , 600 ," 9,186 "," 9,186 ", -   ,#DIV/0!,, -   , -   , -   
 Mposa , TN33017 , South , Machinga , OFF GRID ,," 1,000 ", 836 , -   , 700 , 700 ," 9,505 "," 9,635 ", 130 , 5 ,, -   , -   , -   
 Nayuchi , TN33009 , South , Machinga , GRID , PREPAID ," 1,000 ", 700 , -   , 650 , 650 ," 28,943 "," 28,970 ", 27 , 24 ," 1,983 ", -   , -   , -   
 Nselema , TN33012 , South , Machinga , GRID , PREPAID , 800 , 420 , -   , 366 , 366 ," 11,889 "," 11,917 ", 28 , 13 ," 3,714 ", -   , -   , -   
 Chikweo , TN33001 , South , Machinga , GRID , PREPAID , 600 , 670 , -   , 582 , 582 ," 3,137 "," 3,177 ", 40 , 15 ," 2,096 ", -   , -   , -   
 Mwima , TN32010 , South , Machinga , GRID , postpaid , 800 , 421 ," 1,143 ", 160 , 160 ," 18,443 "," 19,085 ", 642 , 0 ,, -   , -   , -   
 Ulongwe , TN32018 , South , Machinga , GRID , postpaid , 800 , 580 , -   , 350 , 350 ," 15,379 "," 15,379 ", -   ,#DIV/0!, x , -   , -   , -   
 Ntaja , TN33013 , South , Machinga , GRID , postpaid ," 1,000 ", 300 , 340 , 560 , 560 ," 16,656 "," 16,686 ", 30 , 19 , -   , -   , -   , -   
