Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,,,
Dedza Township,TN22005 ,Lilongwe,Dedza,Grid,Prepaid,1000,550,0,540,10,5202,5207,5, 2.0 ,0,0,0,0,,,,
Area 18 Round About,TN20017 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,120,1150,380,890,14882,15433,551, 1.6 ,0,0,0,0,,,,
Kasungu mapuloti,TN25014 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,638,1000,638,5285,5516,231, 2.8 ,0,0,0,0,,,,
Mponela,TN24012 ,Lilongwe,Ntchisi,Grid,Prepaid,1000,1000,480,480,1000,13256,13686,430, 2.3 ,0,0,0,0,,,,
AREA 38 EXT,TN20058 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,300,730,570,10100,10331,231, 2.5 ,0,0,0,0,,,,
AREA 22 A,TN20023 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,400,0,400,0,15089,15113,24, -   ,0,0,0,0,,,,
Nalikule,TN20152 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,700,460,840,11583,12043,460, 1.8 ,0,0,0,0,,,,
AREA 2,TN20020 ,Lilongwe,Lilongwe,Grid,Prepaid,600,475,0,460,15,20057,20063,6, 2.5 ,0,0,0,0,,,,
AREA 47 sector 3,TN20067 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,300,1000,300,13679,13679,0,#DIV/0!,0,0,0,0,,,,
Kawale PTC,TN20192 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,575,451,300,726,13276,13570,294, 2.5 ,0,0,0,0,,,,
Salima MTL 2,TN27018 ,Lilongwe,Salima,Grid,Prepaid,2000,1397,0,1377,20,1898,1912,14, 1.4 ,0,0,0,0,,,,
Dubai 2,TN20191 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,400,600,14579,14841,262, 2.3 ,0,0,0,0,,,,
ADL House,TN20001 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,310,690,3007,3189,182, 3.8 ,0,0,0,0,,,,
AREA 43 UPPER,TN20062 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,700,0,690,10,8365,8371,6, 1.7 ,0,0,0,0,,,,
MCHESI 2,TN20144 ,Lilongwe,Lilongwe,Grid,Prepaid,600,330,0,330,0,16648,16648,0,#DIV/0!,0,0,0,0,,,,
AREA 18 Chatuwa,TN20019 ,Lilongwe,Lilongwe,Grid,Prepaid,600,456,0,456,0,21415,21415,0,#DIV/0!,0,0,0,0,,,,
MOGASA,TN20148 ,Lilongwe,Lilongwe,Grid,Prepaid,600,586,0,586,0,24570,24570,0,#DIV/0!,0,0,0,0,,,,
CHISEKA,TN23190 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,800,700,590,910,8951,9419,468, 1.9 ,0,0,0,0,,,,
MAGOMERO,TN23178 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,407,607,420,9002,9125,123, 3.4 ,0,0,0,0,,,,
NDAULA,TN23205 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,500,620,880,6851,7183,332, 2.7 ,0,0,0,0,,,,
AREA 47 sector 2,TN20173 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,570,0,570,0,3633,3633,0,#DIV/0!,0,0,0,0,,,,
KAMELA,TN28014 ,Lilongwe,Mchinji,Grid,Prepaid,1000,730,614,1000,344,4727,4801,74, 4.6 ,0,0,0,0,,,,
TANDANJE,TN17005 ,Lilongwe,Ntchisi,Grid,Prepaid,1000,590,540,700,430,8395,8551,156, 2.8 ,0,0,0,0,,,,
KAPELURA,TN25027 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,220,1193,1000,413,7667,7859,192, 2.2 ,0,0,0,0,,,,
LINDE MOTEL,TN24017 ,Lilongwe,Lilongwe,Grid,Prepaid,500,0,0,0,0,25606,25606,0,#DIV/0!,0,0,0,0,,,,
LOZI,TN26008 ,Lilongwe,Nkhotakota,Grid,Prepaid,600,552,0,552,0,20216,20216,0,#DIV/0!,0,0,0,0,,,,
AREA 47 SECTOR 4,TN20205 ,Lilongwe,Lilongwe,Grid,Prepaid,500,400,0,400,0,12700,12700,0,#DIV/0!,0,0,0,0,,,,
Pondomali,TN23191 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,500,440,660,1528,4145,2617, 0.3 ,0,0,0,0,,,,
Area 5 chilambula pagat,TN20079 ,Lilongwe,Lilongwe,Grid,Postpaid,600,3,0,3,0,870,870,0,#DIV/0!,0,0,0,0,,,,
Mlale Parish,TN23206 ,Lilongwe,Lilongwe,Grid,Prepaid,50,50,0,50,0,7894,7894,0,#DIV/0!,0,0,0,0,,,,
Mchezi,TN20145 ,Lilongwe,Lilongwe,Grid,Prepaid,65,200,0,200,0,6485,6488,3, -   ,0,0,0,0,,,,
Chitipi TC,TN20103 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,600,0,3475,3475,0,#DIV/0!,0,0,0,0,,,,
Msakambewa,TN24008 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,290,500,290,6330,16487,10157, 0.0 ,0,0,0,0,,,,
Area 9 Guest House,TNMLLRes,Lilongwe,Lilongwe,Grid,Postpaid,1000,577,0,430,147,1948,2026,78, 1.9 ,0,0,0,0,,,,
Ntchentche,TN20222 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,700,240,1060,18624,18929,305, 3.5 ,0,0,0,0,,,,
Tambalale,TN20030 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,1180,420,1360,32376,32755,379, 3.6 ,0,0,0,0,,,,
Area 43 MTL,TN20060 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,0,590,10,1930,1935,5, 2.0 ,0,0,0,0,,,,
Ex Area 24 DG,TN20032 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,0,100,0,100,100,0,#DIV/0!,0,0,0,0,,,,
Mobile Genset,TNMLLMOB01,Lilongwe,Lilongwe,Grid,Prepaid,200,65,0,65,0,2251,2251,0,#DIV/0!,0,0,0,0,,,,
Dedza Deport,TN22021 ,Lilongwe,Dedza,Grid,Prepaid,1000,509,846,646,709,6485,6739,254, 2.8 ,0,0,0,0,,,,
Chikho Hotel,TN24025 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,0,500,0,25846,25846,0,#DIV/0!,0,0,0,0,,,,
SIMBI,TN28002 ,Lilongwe,Mchinji,Grid,Prepaid,50,50,0,50,0,7105,7105,0,#DIV/0!,0,0,0,0,,,,
Msundwe DG,TN23165 ,Lilongwe,Lilongwe,Grid,Prepaid,50,50,0,50,0,7396,7396,0,#DIV/0!,0,0,0,0,,,,
Chilinde mobile,TN20093 ,Lilongwe,Lilongwe,Grid,Prepaid,12,12,0,12,0,1410,1410,0,#DIV/0!,0,0,0,0,,,,
Salima DG (Paratude),TN27028 ,Lilongwe,Salima,Grid,Postpaid,250,500,400,410,490,29425,29966,541, 0.9 ,0,0,0,0,,,,
Area 17 Genset,TNMLLOff,Lilongwe,Lilongwe,Grid,Postpaid,600,120,300,120,300,2292,2292,0,#DIV/0!,0,0,0,0,,,,
Chisapo Mobile,TN20095 ,Lilongwe,Lilongwe,Grid,Prepaid,200,200,0,200,0,200,200,0,#DIV/0!,0,0,0,0,,,,
kanengo,TN20116 ,Lilongwe,Lilongwe,Grid,Postpaid,600,50,0,50,0,7956,7956,0,#DIV/0!,0,0,0,0,,,,
DZALEKA CAMP,,,,,,,200,1165,200,1165,3876,4072,196, 5.9 ,0,0,0,0,,,,
Bwemba 2,,,,,,,600,920,230,1290,4545,5361,816, 1.6 ,0,0,0,0,,,,
