Sites Name,Site ID,Region,District,Site Status         (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage
CHIKALE,TN14014,North,NKHATABAY,GRID,Prepaid,1000,882,0,510,372,9479,9633,154, 2.4 ,1890,2561,1570,2881
KHOSOLO,TN14008,North,MZIMBA,GRID,Prepaid,1000,989,0,982,7,3775,3779,4, 1.8 ,920,0,1201,-281
ZUBAYUMO,TN15021,North,MZIMBA,OFFGRID,off-grid,1000,650,961,496,1115,11057,11343,286, 3.9 ,0,0,0,0
MPHEREMBE TC,TN11004,North,MZIMBA,OFFGRID,PREPAID,1000,1000,0,870,130,2940,2995,55, 2.4 ,1020,2561,1132,2449
MZUZU GOVERNMENT SCHO,TN11002,North,MZUZU,Grid,Prepaid,1000,518,141,590,69,8356,8389,33, 2.1 ,981,2561,899,2643
WOVWE,TN14009,North,KARONGA,Grid,Prepaid,1000,338,0,333,5,6036,6039,3, 1.7 ,1190,2561,1240,2511
MLALE,TN12008,North,KARONGA,Grid,Prepaid,600,488,0,418,70,7692,7727,35, 2.0 ,1182,2927,788,3321
CHINUNKHA,TN12005,North,KARONGA,GRID,Prepaid,1000,815,0,810,5,1109,1113,4, 1.3 ,6098,0,5111,987
NGAZI,TN15031,North,MZIMBA,OFFGRID,Prepaid,1000,700,1220,752,1168,14137,14618,481, 2.4 ,0,0,0,0
KAFOTEKA,TN10050,North,MZIMBA,GRID,Prepaid,0,960,0,955,5,6383,6386,3, 1.7 ,1820,2561,740,3641
MZUZU TECHNICAL COLLEE,TN13021,North,MZUZU,GRID,Prepaid,0,0,0,0,0,0,0,0,#DIV/0!,1060,2561,1057,2564
SONDA,TN10045,North,MZUZU,GRID,Prepaid,50,50,28,50,28,9255,9273,18, 1.6 ,980,2561,892,2649
MZUZU VHF,TN11013,North,MZUZU,GRID,Prepaid,1000,994,0,994,0,1444,1444,0,#DIV/0!,0,0,0,0
KABOKO,TN15006,North,MZUZU,GRID,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,985,2651,915,2721
KADIKECHI,TN15036,North,MZIMBA,OFFGRID,Prepaid,1000,600,0,240,360,7364,7492,128, 2.8 ,0,0,0,0
BWABWA,TN15017,North,MZIMBA,OFFGRID,Prepaid,1000,556,1580,1000,1136,3428,3875,447, 2.5 ,0,0,0,0
MUYEWA,TN16003,North,NKHATABAY,OFFGRID,Prepaid,1000,850,969,504,1315,10275,10778,503, 2.6 ,0,0,0,0
MALAZA,TN10038,North,NKHATABAY,GRID,Prepaid,1000,480,0,400,80,4481,4517,36, 2.2 ,840,2561,814,2587
LISALE,TN14013,North,NKHATABAY,GRID,Prepaid,0,1000,0,400,600,7490,7762,272, 2.2 ,1243,1574,1560,1257
ENDYONGOLENI,TN14001,North,MZIMBA,OFFGRID,Prepaid,1000,511,990,1000,501,2610,2725,115, 4.4 ,0,0,0,0
ENGALAWENI,TN10038,North,MZIMBA,GRID,Prepaid,1000,948,481,740,689,3040,3380,340, 2.0 ,640,2561,810,2391
IPONGA,TN12011,North,KARONGA,Grid,Prepaid,1000,914,0,914,0,2171,2171,0,#DIV/0!,1890,0,920,970
MASASA,TN10040,North,MZUZU,Grid,Prepaid,600,544,41,560,25,10022,10039,17, 1.5 ,941,2561,510,2992
MTWALO,TN10048,North,MZIMBA,OFFGRID,Prepaid,1000,429,0,400,29,3379,3401,22, 1.3 ,990,2561,1510,2041
