Site Name,Site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
Namanolo,TN32012,South,Machinga,GRID,PREPAID,600,120,558,540,138,7613,7636,23, 6.00 ,540,,,
Ulongwe DG 2,TN32018,South,Machinga,GRID,POSTPAID ,600,730,0,540,190,7972,8070,98, 1.94 ,540,,,
Mkwepere,TN33014,South,Machinga,OFF GRID,,1000,790,611,790,611,6516,6795,279, 2.19 ,790,,,
MOBILE DG ZOMBA,TNMSRMOB01,South,Zomba,OFF GRID,AT CHAPOLA,1000,265,0,265,0,805,805,0,#DIV/0!,265,,,
Lizulu,TN21005,South,Ntcheu,OFF GRID,OFF GRID,600,600,0,360,240,29571,29654,83, 2.89 ,360,,,
Phombeya Fiber Repeater,TN32015,South,Balaka,GRID,OFF GRID,1000,673,0,627,46,3856,3877,21, 2.19 ,627,,,
Mota 3.2,TN49003,South,Balaka,OFF GRID,OFF GRID,600,798,0,452,346,1148,1225,77, 4.49 ,452,,,
Kandeu,TN21004,South,Balaka,GRID,PREPAID,600,628,0,583,45,25191,25207,16, 2.81 ,583,,,
Balaka  BSC,TN32002,South,Balaka,GRID,PREPAID,1000,596,0,596,0,1484,1484,0,#DIV/0!,596,,,
Tsangano Proper,TN21016,South,Ntcheu,GRID,PREPAID,1000,660,0,652,8,2576,2579,3, 2.67 ,652,,,
Neno,TN49005,South,neno,GRID,POSTPAID,500,950,0,830,120,2781,2827,46, 2.61 ,830,,,
Phalula,TN32014,South,Balaka,GRID,POSTPAID,1000,680,0,619,61,13985,14014,29, 2.10 ,619,,,
Senzani,TN21014,South,Balaka,GRID,POSTPAID,1000,436,0,390,46,17179,17200,21, 2.19 ,390,,,
Andiamo,TN32001,South,Balaka,GRID,PREPAID,1000,425,0,416,9,17216,17219,3, 3.00 ,416,,,
Nachitheme,TN32011,South,Balaka,GRID,POSTPAID,1000,910,0,894,16,6742,6748,6, 2.67 ,894,,,
Manjawira,TN32008,South,Balaka,GRID,PREPAID,600,255,389,580,64,13295,13313,18, 3.56 ,580,,,
Ntcheu Peak,TN21012,South,Ntcheu,GRID,POSTPAID,600,228,576,580,224,7902,8069,167, 1.34 ,580,,,
New Balaka BSC,TN32002,South,Balaka,GRID,BACK UP DG,600,974,0,890,84,3292,3304,12, 7.00 ,890,,,
Chembera,TN32005,South,Balaka,GRID,POSTPAID,600,493,0,438,55,18676,18701,25, 2.20 ,438,,,
Nkaya,TN32013,South,Balaka,OFF GRID ,,600,848,0,844,4,7804,7806,2, 2.00 ,844,,,
Balaka Macra,TN32003,South,Balaka,GRID,PREPAID,600,464,0,434,30,9544,9560,16, 1.88 ,434,,,
Balaka Majiga,TN32004,South,Balaka,GRID,PREPAID,600,509,0,486,23,13025,13033,8, 2.88 ,486,,,
Khwisa,TN32007,South,Balaka,GRID,PREPAID,600,585,0,538,47,3663,3682,19, 2.47 ,538,,,
Mphombeya BTS,TN32015,South,Balaka,GRID ,PREPAID,600,472,0,430,42,5575,5596,21, 2.00 ,430,,,
Ntcheu MTL,TN21011,South,Ntcheu,GRID,PREPAID AIRTEL,600,792,0,761,31,2456,2473,17, 1.82 ,761,,,
UTALE,TN32019,South,Balaka,OFFGRID,OFFGRID,600,606,0,606,0,28728,28728,0,#DIV/0!,606,,,
BLK Shop,TNMShop,South,Balaka,GRID,,600,600,0,600,0,0,0,0,#DIV/0!,600,,,
 MAWIRA new DG,TN33016,South,Machinga,OFF GRID,,800,480,0,460,20,10630,10638,8, 2.50 ,460,,,
MANGOCHI ACL,TN34022,South,Mangochi,GRID,ACCESS,1000,490,0,424,66,3911,3944,33, 2.00 ,424,,,
MANGOCHI NORTH,TN34025,South,mangochi,GRID,PREPAID,600,606,0,522,84,12823,12855,32, 2.63 ,522,,,
MANGOCHI AIRPORT,TN34023,South,Mangochi,GRID,PREPAID,600,352,442,600,194,5990,6027,37, 5.24 ,600,,,
NANSENGA,TN34036,South,Mangochi,OFF GRID ,PREPAID,600,552,0,455,97,33091,33133,42, 2.31 ,455,,,
PALM BEACH,TN34040,South,Mangochi,GRID,PREPAID,600,715,0,642,73,27144,27172,28, 2.61 ,642,,,
NAMIYASI,TN34032,South,Mangochi,GRID,PREPAID,600,478,0,428,50,9557,9586,29, 1.72 ,428,,,
SUN AND SAND,TN34042,South,Mangochi,GRID,PREPAID,600,703,0,622,81,7324,7355,31, 2.61 ,622,,,
CHIKOWA,TN34005,South,Mangochi,GRID,PREPAID,1000,389,0,341,48,7415,7445,30, 1.60 ,341,,,
CHIKOKOBAY,TN34003,South,Mangochi,GRID,PREPAID,600,208,421,593,36,17014,17029,15, 2.40 ,593,,,
MANZINZIBAY,TN34027,South,Mangochi,GRID,PREPAID,1000,640,0,589,51,7151,7181,30, 1.70 ,589,,,
CHIKOKO STATE,TN34004,South,Mangochi,GRID,PREPAID,300,430,0,396,34,9807,9821,14, 2.43 ,396,,,
MONKEY BAY,TN34028,South,Mangochi,GRID,POSTPAID,600,458,0,425,33,7797,7814,17, 1.94 ,425,,,
NAMBANDE,TN34031,South,Mangochi,OFF GRID,POSTPAID,600,624,788,680,732,2502,2746,244, 3.00 ,680,,,
NGAPANI from Mbaluku,TN34037,South,Mangochi,OFF GRID,POSTPAID,1000,1005,0,603,402,3060,3158,98, 4.10 ,603,,,
NAMWERA,TN34033,South,Mangochi,GRID,PREPAID,600,460,0,192,268,16749,16883,134, 2.00 ,192,,,
CHIPHOLE,TN34008,South,Mangochi,OFF GRID ,OFFGRID,1000,920,0,725,195,7268,7333,65, 3.00 ,725,,,
MALEKANO,TN34018,South,Mangochi,OFF GRID ,PREPAID,600,525,0,388,137,20076,20143,67, 2.04 ,388,,,
KATULI,TN34012,South,Mangochi,GRID,PREPAID,600,480,0,370,110,10572,10627,55, 2.00 ,370,,,
NANKHWALI,TN34034,South,Mangochi,OFF GRID,PREPAID,600,467,0,449,18,12604,12610,6, 3.00 ,449,,,
NKHUZIBAY,TN34038,South,Mangochi,OFF GRID ,PREPAID,600,810,0,710,100,19281,19321,40, 2.50 ,710,,,
CHING'OMBE,TN34007,South,Mangochi,GRID,PREPAID,600,580,0,556,24,29036,29048,12, 2.00 ,556,,,
NKOPOLA,TN34039,South,Mangochi,GRID,PREPAID,600,480,0,393,87,8826,8856,30, 2.90 ,393,,,
LULANGA,TN34015,South,Mangochi,OFF GRID ,OFFGRID,1000,1000,0,612,388,14671,14768,97, 4.00 ,612,,,
Nambande Backup Dg,TN34031,South,Mangochi,OFF GRID ,OFFGRID,600,534,0,534,0,9380,9380,0,#DIV/0!,534,,,
Mulibwanji ,TN34029,South,Mangochi,OFF GRID ,OFFGRID,1000,0,0,0,0,0,0,0,#DIV/0!,0,,,
MOBILE DG MH,TNMSRMOB02,South,Mangochi,,AT NKHUDZIBAY,600,300,0,300,0,15,15,0,#DIV/0!,300,,,
MH MTL,TN34021,South,Mangochi,GRID ,PREPAID ,1000,694,726,1087,333,9520,9624,104, 3.20 ,1087,,,
LUGOLA,TN34044,South,Mangochi,OFF GRID ,PREPAID ,1000,818,876,818,876,8887,9207,320, 2.74 ,818,,,
MH KARONGA,TN34052,South,Mangochi,OFF GRID ,PREPAID ,1000,540,386,890,36,16548,16564,16, 2.25 ,890,,,
LUNGWENA ,TN34045,South,Mangochi,OFF GRID ,PREPAID ,600,1031,894,1031,894,7241,7451,210, 4.26 ,1031,,,
Mbaluku,TN34047,South,Mangochi,GRID,PREPAID ,600,100,0,76,24,820,832,12, 2.00 ,76,,,
Makunganya,TN34046,South,Mangochi,OFF GRID ,PREPAID ,600,1000,900,1000,900,9696,10153,457, 1.97 ,1000,,,
Chembe ,TN34013,South,Mangochi,OFF GRID ,PREPAID ,600,600,0,468,132,27219,27285,66, 2.00 ,468,,,
Majiga 1,TN32021,South,Balaka,OFF GRID ,PREPAID ,600,482,566,600,448,2966,3117,151, 2.97 ,600,,,
Dziwe,TN32022,South,Balaka,OFF GRID ,PREPAID ,1000,500,640,790,350,2395,2510,115, 3.04 ,790,,,
Chapola,TN31036,South,Balaka,OFF GRID,PREPAID ,600,526,820,830,516,2463,2669,206, 2.50 ,830,,,
St Therese/Liwonde Hospital,TN33018,South,Machinga,OFF GRID ,PREPAID ,1000,870,0,590,280,3207,3305,98, 2.86 ,590,,,
Dzunje,TN21018,South,Zomba,OFF GRID ,PREPAID ,600,652,710,895,467,3040,3197,157, 2.97 ,895,,,
MPOTOLA,TN31035,South,Machinga,OFF GRID ,PREPAID ,600,420,457,600,277,14762,14882,120, 2.31 ,600,,,
Dzenje,TN45013,South,Zomba,OFF GRID ,PREPAID ,1000,975,0,842,133,1388,1441,53, 2.51 ,842,,,
chingondo,TN31010,South,Zomba,OFF GRID ,PREPAID ,600,596,0,581,15,19813,19819,6, 2.50 ,581,,,
Namasalima,TN31033,South,Zomba,OFF GRID ,PREPAID ,600,600,0,600,0,218,218,0,#DIV/0!,600,,,
