Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,,,
SALIMA SUGAR,TN27021 ,Lilongwe,Salima,Grid,Prepaid,500,430,0,425,5,32954,32956,2, 2.5 ,0,0,0,0,,SALIMA SUGAR,,
GUEST HOUSE AREA 10,TNMLLRes,Lilongwe,Lilongwe,Grid,Prepaid,60,73,0,73,0,682,682,0,#DIV/0!,0,0,0,0,,GUEST HOUSE AREA 10,,
AREA 47 MTL,TN20064 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,0,480,20,9707,9720,13, 1.5 ,0,0,0,0,,AREA 47 MTL,,
BWEMBA,TN20096 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,690,500,620,570,6921,7160,239, 2.4 ,0,0,0,0,,BWEMBA,,
AREA 49 BARGDAD,TN20071 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,430,700,200,930,2097,2353,256, 3.6 ,0,0,0,0,,AREA 49 BARGDAD,,
AREA10 USAID,TN20009 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,770,0,756,14,5508,5516,8, 1.8 ,0,0,0,0,,AREA10 USAID,,
AREA 25 KABWABWA,TN20035 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,900,0,700,200,16144,16144,0,#DIV/0!,0,0,0,0,,AREA 25 KABWABWA,,
AREA 25 Zibwenze,TN20042 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,425,0,425,0,7301,7335,34, -   ,0,0,0,0,,AREA 25 Zibwenze,,
AREA 36 LOWER,TN20053 ,Lilongwe,Lilongwe,Grid,Prepaid,600,475,0,420,55,24423,24484,61, 0.9 ,0,0,0,0,,AREA 36 LOWER,,
UPPER BIWI,TN20172 ,Lilongwe,Lilongwe,Grid,Prepaid,600,50,0,50,0,6778,6778,0,#DIV/0!,0,0,0,0,,UPPER BIWI,,
WHITE FALLS,TN20006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,0,600,0,14155,14156,1, -   ,0,0,0,0,,WHITE FALLS,,
AREA 13,TN20012 ,Lilongwe,Lilongwe,Grid,Prepaid,600,520,0,400,120,1528,1605,77, 1.6 ,0,0,0,0,,AREA 13,,
Dedza Township,TN22005 ,Lilongwe,Dedza,Grid,Prepaid,1000,540,0,540,0,5207,5207,0,#DIV/0!,0,0,0,0,,Dedza Township,,
Area 18 Round About,TN20017 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,380,940,530,790,15433,15934,501, 1.6 ,0,0,0,0,,Area 18 Round About,,
Kasungu mapuloti,TN25014 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,600,1000,600,5516,5724,208, 2.9 ,0,0,0,0,,Kasungu mapuloti,,
Mponela,TN24012 ,Lilongwe,Ntchisi,Grid,Prepaid,1000,480,772,1000,252,13686,13797,111, 2.3 ,0,0,0,0,,Mponela,,
AREA 38 EXT,TN20058 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,730,500,650,580,10331,10585,254, 2.3 ,0,0,0,0,,AREA 38 EXT,,
AREA 22 A,TN20023 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,400,0,400,0,15113,15127,14, -   ,0,0,0,0,,AREA 22 A,,
Nalikule,TN20152 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,460,600,500,560,12043,12297,254, 2.2 ,0,0,0,0,,Nalikule,,
AREA 2,TN20020 ,Lilongwe,Lilongwe,Grid,Prepaid,600,460,0,415,45,20063,20081,18, 2.5 ,0,0,0,0,,AREA 2,,
AREA 47 sector 3,TN20067 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,400,500,900,13679,14303,624, 1.4 ,0,0,0,0,,AREA 47 sector 3,,
Kawale PTC,TN20192 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,300,800,420,680,13570,13910,340, 2.0 ,0,0,0,0,,Kawale PTC,,
Salima MTL 2,TN27018 ,Lilongwe,Salima,Grid,Prepaid,2000,1377,1309,2000,686,1912,2053,141, 4.9 ,0,0,0,0,,Salima MTL 2,,
Dubai 2,TN20191 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,400,500,540,360,14841,15018,177, 2.0 ,0,0,0,0,,Dubai 2,,
ADL House,TN20001 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,310,0,310,0,3189,3189,0,#DIV/0!,0,0,0,0,,ADL House,,
AREA 43 UPPER,TN20062 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,690,0,660,30,8371,8388,17, 1.8 ,0,0,0,0,,AREA 43 UPPER,,
MCHESI 2,TN20144 ,Lilongwe,Lilongwe,Grid,Prepaid,600,330,0,300,30,16648,16663,15, 2.0 ,0,0,0,0,,MCHESI 2,,
AREA 18 Chatuwa,TN20019 ,Lilongwe,Lilongwe,Grid,Prepaid,600,456,0,456,0,21415,21441,26, -   ,0,0,0,0,,AREA 18 Chatuwa,,
MOGASA,TN20148 ,Lilongwe,Lilongwe,Grid,Prepaid,600,586,0,586,0,24570,24651,81, -   ,0,0,0,0,,MOGASA,,
CHISEKA,TN23190 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,590,700,350,940,9419,9797,378, 2.5 ,0,0,0,0,,CHISEKA,,
MAGOMERO,TN23178 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,607,300,440,467,9125,9324,199, 2.3 ,0,0,0,0,,MAGOMERO,,
NDAULA,TN23205 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,500,660,460,7183,7359,176, 2.6 ,0,0,0,0,,NDAULA,,
AREA 47 sector 2,TN20173 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,570,0,525,45,3633,3759,126, 0.4 ,0,0,0,0,,AREA 47 sector 2,,
KAMELA,TN28014 ,Lilongwe,Mchinji,Grid,Prepaid,1000,1000,0,1000,0,4801,4801,0,#DIV/0!,0,0,0,0,,KAMELA,,
TANDANJE,TN17005 ,Lilongwe,Ntchisi,Grid,Prepaid,1000,700,500,660,540,8551,8794,243, 2.2 ,0,0,0,0,,TANDANJE,,
KAPELURA,TN25027 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,500,500,7859,8043,184, 2.7 ,0,0,0,0,,KAPELURA,,
LINDE MOTEL,TN24017 ,Lilongwe,Lilongwe,Grid,Prepaid,500,0,0,-,#VALUE!,25606,25606,0,#VALUE!,0,0,0,0,,LINDE MOTEL,,
LOZI,TN26008 ,Lilongwe,Nkhotakota,Grid,Prepaid,600,552,801,600,753,20216,20691,475, 1.6 ,0,0,0,0,,LOZI,,
AREA 47 SECTOR 4,TN20205 ,Lilongwe,Lilongwe,Grid,Prepaid,500,400,0,400,0,12700,12720,20, -   ,0,0,0,0,,AREA 47 SECTOR 4,,
Pondomali,TN23191 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,440,492,92,840,4145,4300,155, 5.4 ,0,0,0,0,,Pondomali,,
Area 5 chilambula pagat,TN20079 ,Lilongwe,Lilongwe,Grid,Postpaid,600,3,40,20,23,870,317,-553,-0.0 ,0,0,0,0,,Area 5 chilambula pagat,,
Mlale Parish,TN23206 ,Lilongwe,Lilongwe,Grid,Prepaid,50,50,0,50,0,7894,7894,0,#DIV/0!,0,0,0,0,,Mlale Parish,,
Mchezi,TN20145 ,Lilongwe,Lilongwe,Grid,Prepaid,65,200,0,200,0,6488,6488,0,#DIV/0!,0,0,0,0,,Mchezi,,
Chitipi TC,TN20103 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,600,0,3475,3475,0,#DIV/0!,0,0,0,0,,Chitipi TC,,
Msakambewa,TN24008 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,0,500,0,16487,16487,0,#DIV/0!,0,0,0,0,,Msakambewa,,
Area 9 Guest House,TNMLLRes,Lilongwe,Lilongwe,Grid,Postpaid,1000,430,62,442,50,2026,2050,24, 2.1 ,0,0,0,0,,Area 9 Guest House,,
Ntchentche,TN20222 ,Lilongwe,Lilongwe,Grid,Prepaid,600,240,782,532,490,18929,19081,152, 3.2 ,0,0,0,0,,Ntchentche,,
Tambalale,TN20030 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,420,836,600,656,32755,32950,195, 3.4 ,0,0,0,0,,Tambalale,,
Area 43 MTL,TN20060 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,590,0,570,20,1935,1960,25, 0.8 ,0,0,0,0,,Area 43 MTL,,
Ex Area 24 DG,TN20032 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,0,100,0,100,100,0,#DIV/0!,0,0,0,0,,Ex Area 24 DG,,
Mobile Genset,TNMLLMOB01,Lilongwe,Lilongwe,Grid,Prepaid,200,65,0,65,0,2251,2251,0,#DIV/0!,0,0,0,0,,Mobile Genset,,
Dedza Deport,TN22021 ,Lilongwe,Dedza,Grid,Prepaid,1000,646,0,646,0,6739,6739,0,#DIV/0!,0,0,0,0,,Dedza Deport,,
Chikho Hotel,TN24025 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,0,500,0,25846,25846,0,#DIV/0!,0,0,0,0,,Chikho Hotel,,
SIMBI,TN28002 ,Lilongwe,Mchinji,Grid,Prepaid,50,50,0,50,0,7105,7105,0,#DIV/0!,0,0,0,0,,SIMBI,,
Msundwe DG,TN23165 ,Lilongwe,Lilongwe,Grid,Prepaid,50,50,0,50,0,7396,7396,0,#DIV/0!,0,0,0,0,,Msundwe DG,,
Chilinde mobile,TN20093 ,Lilongwe,Lilongwe,Grid,Prepaid,12,12,0,12,0,1410,1410,0,#DIV/0!,0,0,0,0,,Chilinde mobile,,
Salima DG (Paratude),TN27028 ,Lilongwe,Salima,Grid,Postpaid,250,410,605,600,415,29966,30519,553, 0.8 ,0,0,0,0,,Salima DG (Paratude),,
Area 17 Genset,TNMLLOff,Lilongwe,Lilongwe,Grid,Postpaid,600,120,0,120,0,2292,2292,0,#DIV/0!,0,0,0,0,,Area 17 Genset,,
Chisapo Mobile,TN20095 ,Lilongwe,Lilongwe,Grid,Prepaid,200,200,0,200,0,200,200,0,#DIV/0!,0,0,0,0,,Chisapo Mobile,,
kanengo,TN20116 ,Lilongwe,Lilongwe,Grid,Postpaid,600,50,0,50,0,7956,7956,0,#DIV/0!,0,0,0,0,,kanengo,,
DZALEKA CAMP,,,,,,,200,1260,600,860,4072,4793,721, 1.2 ,0,0,0,0,,DZALEKA CAMP,,
Bwemba 2,,,,,,,230,810,250,790,5361,5940,579, 1.4 ,0,0,0,0,,Bwemba 2,,
