Sites Name,Site ID,Region,District,Site Status         (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
MAYOKA,TN11011,North,KARONGA,Grid,Prepaid,210,210,0,107,103,9411,9484,73, 1.4 ,0,0,0,0,MPATA
SONGWE,TN14006,North,KARONGA,Grid,Prepaid,1000,1000,0,562,438,5386,5605,219, 2.0 ,1387,2927,813,3501,MISUKU
MPATA,TN14018,North,KARONGA,Grid,Prepaid,600,277,370,484,163,5189,5262,73, 2.2 ,1021,2561,500,3082,ELEPHANT TREE
MISUKU,TN11006,North,KARONGA,Grid,Prepaid,600,769,0,728,41,3877,3894,17, 2.4 ,740,2561,400,2901,BUNDI
ELEPHANT TREE,TN15025,North,KARONGA,Grid,Prepaid,600,880,0,664,216,1240,1323,83, 2.6 ,980,2561,900,2641,KARONGA PROPER
BUNDI,TN14004,North,NKHATABAY,OFFGRID,Prepaid,600,600,0,500,100,15043,15090,47, 2.1 ,0,0,0,0,MZIMBA MTL
KARONGA PROPER,TN10039,North,KARONGA,Grid,Prepaid,2000,444,0,444,0,3719,3719,0,#DIV/0!,1054,5933,250,6737,BWENGU MTL
MZIMBA MTL,,North,MZIMBA,Grid,Prepaid,1000,465,0,420,45,3130,3151,21, 2.1 ,0,0,0,0,LUBINGA ACCESS
BWENGU MTL,TN15001,North,RUMPHI,Grid,Prepaid,1000,840,0,840,0,2091,2091,0,#DIV/0!,0,0,0,0,MZIMBA HOSPITAL
LUBINGA ACCESS,TN10051,North,MZUZU,Grid,Prepaid,600,417,0,285,132,10168,10241,73, 1.8 ,0,0,0,0,CHINTHECHE MTL
MZIMBA HOSPITAL,TN10067,North,MZIMBA,Grid,Prepaid,600,540,0,492,48,29655,29679,24, 2.0 ,1210,2561,800,2971,BOTANIC
CHINTHECHE MTL,TN11003,North,NKHATABAY,Grid,Prepaid,600,590,0,560,30,5142,5158,16, 1.9 ,980,2927,510,3397,CLUB MARINA
BOTANIC,TN12006,North,MZUZU,Grid,Prepaid,600,600,360,570,390,5838,5872,34, 11.5 ,1551,2927,190,4288,MZUZU STADIUM
CLUB MARINA,TN12003,North,KARONGA,Grid,Prepaid,600,600,0,500,100,8475,8530,55, 1.8 ,1051,2927,200,3778,KATOTO SCHOOL
MZUZU STADIUM,TN10055,North,MZUZU,Grid,Prepaid,600,460,81,460,81,8386,8416,30, 2.7 ,1230,2927,910,3247,KATAWA
KATOTO SCHOOL,TN10052,North,MZUZU,Grid,Prepaid,1000,960,0,840,120,1927,1967,40, 3.0 ,888,3306,850,3344,MSENJERE
KATAWA,TN10061,North,MZUZU,Grid,Prepaid,600,354,61,315,100,9099,9213,114, 0.9 ,0,0,0,0,HILL TOP
MSENJERE,TN26009,North,NKHOTAKOTA,Grid,Prepaid,600,545,0,490,55,10350,10375,25, 2.2 ,780,2561,961,2380,NKHATABAY HOSP
HILL TOP,TN14003,North,MZUZU,Grid,Prepaid,600,470,0,430,40,10339,10357,18, 2.2 ,955,2927,900,2982,MOBILE DG
NKHATABAY HOSP,TN10071,North,NKHATABAY,Grid,Prepaid,600,600,0,488,112,14460,14523,63, 1.8 ,789,2561,855,2495,NKHATABAY PROPER
MOBILE DG,TNMNRMBO,North,N/A,Grid,Prepaid,100,0,45,0,45,0,0,0,#DIV/0!,0,0,0,0,KARONGA MTL
NKHATABAY PROPER,TN12021,North,NKHATABAY,Grid,Prepaid,600,560,306,560,306,1727,1879,152, 2.0 ,0,0,0,0,RAFIQ FOUNDATION
KARONGA MTL,TN10039,North,KARONGA,Grid,Prepaid,600,600,0,355,245,18841,18954,113, 2.2 ,0,0,0,0,KARONGA DIOCESE
RAFIQ FOUNDATION,TN12001,North,MZUZU,Grid,Prepaid,1000,790,0,754,36,11123,11138,15, 2.4 ,456,2927,200,3183,MATETE
KARONGA DIOCESE,TN13016,North,KARONGA,Grid,Prepaid,600,600,0,530,70,6543,6584,41, 1.7 ,0,0,0,0,KAZUNI
MATETE,TN14011,North,NKHATABAY,OFFGRID,Prepaid,600,460,0,382,78,9486,9525,39, 2.0 ,820,2561,530,2851,MZUZU EXCHANGE 2
KAZUNI,TN12018,North,MZIMBA,GRID,Prepaid,210,460,0,372,88,17665,17709,44, 2.0 ,1131,2561,525,3167,KARONGA PROPER 2
MZUZU EXCHANGE 2,TN13002,North,MZUZU,GRID,Prepaid,2000,1890,0,1481,409,3164,3207,43, 9.5 ,0,0,0,0,TUKUMPHIRE
KARONGA PROPER 2,TN10039,North,KARONGA,Grid,Prepaid,600,600,0,360,240,5701,5778,77, 3.1 ,0,0,0,0,MZUZU CENTRAL HOSP
TUKUMPHIRE,TN10070,North,MZUZU,GRID,Prepaid,800,714,0,670,44,844,864,20, 2.2 ,1090,5490,400,6180,TARGET
MZUZU CENTRAL HOSP,TN12014,North,MZUZU,GRID,Prepaid,800,910,0,856,54,7560,7587,27, 2.0 ,540,2927,800,2667,DWANGWA CLUB
TARGET,TN10049,North,MZUZU,GRID,Prepaid,800,930,0,882,48,4394,4410,16, 3.0 ,787,3306,740,3353,CHOMA
DWANGWA CLUB,TN26002,North,NKHOTAKOTA,GRID,Prepaid,800,685,0,630,55,5176,5198,22, 2.5 ,0,0,0,0,TCC
CHOMA,TN13003,North,NKHATABAY,OFFGRID,off-grid,1000,912,0,773,139,8627,8693,66, 2.1 ,0,2927,970,1957,AREA 1B
TCC,TN12007,North,MZUZU,GRID,Prepaid,1000,680,0,652,28,5192,5206,14, 2.0 ,0,0,0,0,CHITIPA RESIDENTIAL
AREA 1B,TN15028,North,MZUZU,GRID,Prepaid,1000,512,0,512,0,26389,26389,0,#DIV/0!,480,2561,866,2175,CHIKALE
CHITIPA RESIDENTIAL,TN15019,North,CHITIPA,Grid,Prepaid,1000,484,0,419,65,8903,8929,26, 2.5 ,1124,2561,1102,2583,KHOSOLO
CHIKALE,TN14014,North,NKHATABAY,GRID,Prepaid,1000,510,392,600,302,9633,9753,120, 2.5 ,1570,2561,930,3201,ZUBAYUMO
KHOSOLO,TN14008,North,MZIMBA,GRID,Prepaid,1000,982,0,975,7,3779,3787,8, 0.9 ,1201,0,400,801,MPHEREMBE TC
ZUBAYUMO,TN15021,North,MZIMBA,OFFGRID,off-grid,1000,496,1072,436,1132,11343,11603,260, 4.4 ,0,0,0,0,MZUZU GOVERNMENT SCHO
MPHEREMBE TC,TN11004,North,MZIMBA,OFFGRID,PREPAID,1000,870,0,809,61,2995,3024,29, 2.1 ,1132,2927,922,3137,WOVWE
MZUZU GOVERNMENT SCHO,TN11002,North,MZUZU,Grid,Prepaid,1000,590,0,537,53,8389,8418,29, 1.8 ,899,2561,850,2610,MLALE
WOVWE,TN14009,North,KARONGA,Grid,Prepaid,1000,333,0,332,1,6039,6040,1, 1.0 ,1240,2561,1052,2749,CHINUNKHA
MLALE,TN12008,North,KARONGA,Grid,Prepaid,600,418,210,578,50,7727,7738,11, 4.5 ,788,2927,840,2875,NGAZI
CHINUNKHA,TN12005,North,KARONGA,GRID,Prepaid,1000,810,0,799,11,1113,1119,6, 1.8 ,5111,0,4900,211,KAFOTEKA
NGAZI,TN15031,North,MZIMBA,OFFGRID,Prepaid,1000,752,348,561,539,14618,14869,251, 2.1 ,0,0,0,0,MZUZU TECHNICAL COLLEE
