Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,
MALEMBO,TN23135 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,0,720,30,4321,4330,9, 3.3 ,0,0,0,0,,MALEMBO
WAKAWAKA,TN20056 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,480,0,380,100,6842,6890,48, 2.1 ,0,0,0,0,,WAKAWAKA
KAFUMU,TN27004 ,Lilongwe,Salima,Grid,Prepaid,1000,670,0,400,270,4165,4165,0,#DIV/0!,0,0,0,0,,KAFUMU
NKHOTA-KOTA NEW,TN26011 ,Lilongwe,Nkhotakota,Grid,Prepaid,600,600,0,590,10,16479,16482,3, 3.3 ,0,0,0,0,,NKHOTA-KOTA NEW
KASUNTHA,TN24006 ,Lilongwe,Dowa,Grid,Prepaid,1000,118,300,118,300,5106,5173,67, 4.5 ,0,0,0,0,,KASUNTHA
SALIMA SUGAR,TN27021 ,Lilongwe,Salima,Grid,Prepaid,500,425,0,425,0,32956,32956,0,#DIV/0!,0,0,0,0,,SALIMA SUGAR
GUEST HOUSE AREA 10,TNMLLRes,Lilongwe,Lilongwe,Grid,Prepaid,60,73,48,60,61,682,704,22, 2.8 ,0,0,0,0,,GUEST HOUSE AREA 10
AREA 47 MTL,TN20064 ,Lilongwe,Lilongwe,Grid,Prepaid,500,480,0,480,0,9720,9720,0,#DIV/0!,0,0,0,0,,AREA 47 MTL
BWEMBA,TN20096 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,700,590,730,7160,7466,306, 2.4 ,0,0,0,0,,BWEMBA
AREA 49 BARGDAD,TN20071 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,200,968,330,838,2353,2780,427, 2.0 ,0,0,0,0,,AREA 49 BARGDAD
AREA10 USAID,TN20009 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,756,0,400,356,5516,12371,6855, 0.1 ,0,0,0,0,,AREA10 USAID
AREA 25 KABWABWA,TN20035 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,700,0,551,149,16144,16227,83, 1.8 ,0,0,0,0,,AREA 25 KABWABWA
AREA 25 Zibwenze,TN20042 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,425,0,425,0,7335,7335,0,#DIV/0!,0,0,0,0,,AREA 25 Zibwenze
AREA 36 LOWER,TN20053 ,Lilongwe,Lilongwe,Grid,Prepaid,600,420,0,455,-35,24484,24436,-48, 0.7 ,0,0,0,0,,AREA 36 LOWER
UPPER BIWI,TN20172 ,Lilongwe,Lilongwe,Grid,Prepaid,600,50,0,50,0,6778,6778,0,#DIV/0!,0,0,0,0,,UPPER BIWI
WHITE FALLS,TN20006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,0,600,0,14156,14156,0,#DIV/0!,0,0,0,0,,WHITE FALLS
AREA 13,TN20012 ,Lilongwe,Lilongwe,Grid,Prepaid,600,400,100,196,304,1605,1755,150, 2.0 ,0,0,0,0,,AREA 13
Dedza Township,TN22005 ,Lilongwe,Dedza,Grid,Prepaid,1000,540,500,570,470,5207,5518,311, 1.5 ,0,0,0,0,,Dedza Township
Area 18 Round About,TN20017 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,530,500,600,430,15934,16211,277, 1.6 ,0,0,0,0,,Area 18 Round About
Kasungu mapuloti,TN25014 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,500,700,800,5724,5999,275, 2.9 ,0,0,0,0,,Kasungu mapuloti
Mponela,TN24012 ,Lilongwe,Ntchisi,Grid,Prepaid,1000,1000,1070,690,1380,13797,14403,606, 2.3 ,0,0,0,0,,Mponela
AREA 38 EXT,TN20058 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,650,435,435,650,10585,10802,217, 3.0 ,0,0,0,0,,AREA 38 EXT
AREA 22 A,TN20023 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,400,0,336,64,15127,15160,33, 1.9 ,0,0,0,0,,AREA 22 A
Nalikule,TN20152 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,619,600,519,12297,12581,284, 1.8 ,0,0,0,0,,Nalikule
AREA 2,TN20020 ,Lilongwe,Lilongwe,Grid,Prepaid,600,415,300,450,265,20081,20178,97, 2.7 ,0,0,0,0,,AREA 2
AREA 47 sector 3,TN20067 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,300,1000,-200,14303,13679,-624, 0.3 ,0,0,0,0,,AREA 47 sector 3
Kawale PTC,TN20192 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,420,0,190,230,13910,14028,118, 1.9 ,0,0,0,0,,Kawale PTC
Salima MTL 2,TN27018 ,Lilongwe,Salima,Grid,Prepaid,2000,2000,771,2000,771,2053,92,-1961,-0.4 ,0,0,0,0,,Salima MTL 2
Dubai 2,TN20191 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,540,200,340,400,15018,15451,433, 0.9 ,0,0,0,0,,Dubai 2
ADL House,TN20001 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,310,500,500,310,3189,3409,220, 1.4 ,0,0,0,0,,ADL House
AREA 43 UPPER,TN20062 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,660,0,490,170,8388,8415,27, 6.3 ,0,0,0,0,,AREA 43 UPPER
MCHESI 2,TN20144 ,Lilongwe,Lilongwe,Grid,Prepaid,600,300,0,290,10,16663,16672,9, 1.1 ,0,0,0,0,,MCHESI 2
AREA 18 Chatuwa,TN20019 ,Lilongwe,Lilongwe,Grid,Prepaid,600,456,0,420,36,21441,21456,15, 2.4 ,0,0,0,0,,AREA 18 Chatuwa
MOGASA,TN20148 ,Lilongwe,Lilongwe,Grid,Prepaid,600,586,0,586,0,24651,24669,18, -   ,0,0,0,0,,MOGASA
CHISEKA,TN23190 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,350,800,590,560,9797,10042,245, 2.3 ,0,0,0,0,,CHISEKA
MAGOMERO,TN23178 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,440,455,555,340,9324,9458,134, 2.5 ,0,0,0,0,,MAGOMERO
NDAULA,TN23205 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,660,236,326,570,7359,7564,205, 2.8 ,0,0,0,0,,NDAULA
AREA 47 sector 2,TN20173 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,525,0,475,50,3759,3783,24, 2.1 ,0,0,0,0,,AREA 47 sector 2
KAMELA,TN28014 ,Lilongwe,Mchinji,Grid,Prepaid,1000,1000,0,480,520,4801,4996,195, 2.7 ,0,0,0,0,,KAMELA
TANDANJE,TN17005 ,Lilongwe,Ntchisi,Grid,Prepaid,1000,660,300,320,640,8794,9080,286, 2.2 ,0,0,0,0,,TANDANJE
KAPELURA,TN25027 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,500,750,250,8043,8237,194, 1.3 ,0,0,0,0,,KAPELURA
LINDE MOTEL,TN24017 ,Lilongwe,Lilongwe,Grid,Prepaid,500,0,0,0,0,25606,25606,0,#DIV/0!,0,0,0,0,,LINDE MOTEL
LOZI,TN26008 ,Lilongwe,Nkhotakota,Grid,Prepaid,600,600,0,0,600,20691,20691,0,#DIV/0!,0,0,0,0,,LOZI
AREA 47 SECTOR 4,TN20205 ,Lilongwe,Lilongwe,Grid,Prepaid,500,400,0,400,0,12720,12721,1, -   ,0,0,0,0,,AREA 47 SECTOR 4
Pondomali,TN23191 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,92,1298,768,622,4300,1681,-2619,-0.2 ,0,0,0,0,,Pondomali
Area 5 chilambula pagat,TN20079 ,Lilongwe,Lilongwe,Grid,Postpaid,600,20,0,3,17,317,317,0,#DIV/0!,0,0,0,0,,Area 5 chilambula pagat
Mlale Parish,TN23206 ,Lilongwe,Lilongwe,Grid,Prepaid,50,50,0,50,0,7894,7894,0,#DIV/0!,0,0,0,0,,Mlale Parish
Mchezi,TN20145 ,Lilongwe,Lilongwe,Grid,Prepaid,65,200,0,200,0,6488,6488,0,#DIV/0!,0,0,0,0,,Mchezi
Chitipi TC,TN20103 ,Lilongwe,Lilongwe,Grid,Prepaid,600,600,0,600,0,3475,3475,0,#DIV/0!,0,0,0,0,,Chitipi TC
Msakambewa,TN24008 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,0,500,0,16487,16487,0,#DIV/0!,0,0,0,0,,Msakambewa
Area 9 Guest House,TNMLLRes,Lilongwe,Lilongwe,Grid,Postpaid,1000,442,0,375,67,2050,2052,2, 33.5 ,0,0,0,0,,Area 9 Guest House
Ntchentche,TN20222 ,Lilongwe,Lilongwe,Grid,Prepaid,600,532,625,505,652,19081,19293,212, 3.1 ,0,0,0,0,,Ntchentche
Tambalale,TN20030 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,1271,600,1271,32950,33321,371, 3.4 ,0,0,0,0,,Tambalale
Area 43 MTL,TN20060 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,570,0,520,50,1960,1977,17, 2.9 ,0,0,0,0,,Area 43 MTL
Ex Area 24 DG,TN20032 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,0,100,0,100,100,0,#DIV/0!,0,0,0,0,,Ex Area 24 DG
Mobile Genset,TNMLLMOB01,Lilongwe,Lilongwe,Grid,Prepaid,200,65,75,60,80,2251,2251,0,#DIV/0!,0,0,0,0,,Mobile Genset
Dedza Deport,TN22021 ,Lilongwe,Dedza,Grid,Prepaid,1000,646,0,646,0,6739,6739,0,#DIV/0!,0,0,0,0,,Dedza Deport
Chikho Hotel,TN24025 ,Lilongwe,Kasungu,Grid,Prepaid,500,500,0,500,0,25846,25846,0,#DIV/0!,0,0,0,0,,Chikho Hotel
SIMBI,TN28002 ,Lilongwe,Mchinji,Grid,Prepaid,50,50,0,50,0,7105,7105,0,#DIV/0!,0,0,0,0,,SIMBI
Msundwe DG,TN23165 ,Lilongwe,Lilongwe,Grid,Prepaid,50,50,0,50,0,7396,7396,0,#DIV/0!,0,0,0,0,,Msundwe DG
Chilinde mobile,TN20093 ,Lilongwe,Lilongwe,Grid,Prepaid,12,12,0,12,0,1410,1410,0,#DIV/0!,0,0,0,0,,Chilinde mobile
Salima DG (Paratude),TN27028 ,Lilongwe,Salima,Grid,Postpaid,250,600,335,410,525,30519,29966,-553,-0.9 ,0,0,0,0,,Salima DG (Paratude)
Area 17 Genset,TNMLLOff,Lilongwe,Lilongwe,Grid,Postpaid,600,120,0,120,0,2292,2292,0,#DIV/0!,0,0,0,0,,Area 17 Genset
Chisapo Mobile,TN20095 ,Lilongwe,Lilongwe,Grid,Prepaid,200,200,0,200,0,200,200,0,#DIV/0!,0,0,0,0,,Chisapo Mobile
kanengo,TN20116 ,Lilongwe,Lilongwe,Grid,Postpaid,600,50,0,50,0,7956,7956,0,#DIV/0!,0,0,0,0,,kanengo
DZALEKA CAMP,,,,,,,600,910,600,910,4793,1156,-3637,-0.3 ,0,0,0,0,,DZALEKA CAMP
Bwemba 2,,,,,,,250,200,180,270,5940,6684,744, 0.4 ,0,0,0,0,,Bwemba 2
