Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,
Area 30 Railways,TN20049 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,498,0,323,175,2567,2637,70, 2.5 ,0,0,0,0,,Area 30 Railways
Area 25 C,TN20041 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,350,300,343,307,16481,16640,159, 1.9 ,0,0,0,0,,Area 25 C
Kanengo Proper,TN20118 ,Lilongwe,Lilongwe,Grid,Prepaid,600,400,0,345,55,3825,3067,-758,-0.1 ,0,0,0,0,,Kanengo Proper
Silos,TN20169 ,Lilongwe,Lilongwe,Grid,Prepaid,60,60,47,47,60,937,977,40, 1.5 ,0,0,0,0,,Silos
KIA,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,500,500,0,208,292,8934,9067,133, 2.2 ,0,0,0,0,,KIA
Kanengo MBC,TN20119 ,Lilongwe,Lilongwe,Grid,Prepaid,500,276,0,268,8,3871,3879,8, 1.0 ,0,0,0,0,,Kanengo MBC
Nambuma,TN24016 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,965,0,965,0,22738,22738,0,#DIV/0!,0,0,0,0,,Nambuma
Dangalilo,TN24002 ,Lilongwe,Dowa,Grid,Prepaid,600,530,0,380,150,18500,18575,75, 2.0 ,0,0,0,0,,Dangalilo
Lumbadzi,TN20138 ,Lilongwe,Lilongwe,Grid,Prepaid,500,430,0,390,40,1266,3262,1996, 0.0 ,0,0,0,0,,Lumbadzi
Area 50,TN20080 ,Lilongwe,Lilongwe,Grid,Prepaid,600,393,0,286,107,4384,4477,93, 1.2 ,0,0,0,0,,Area 50
Kayembe,TN24007 ,Lilongwe,Dowa,Grid,Prepaid,600,465,256,600,121,16581,16638,57, 2.1 ,0,0,0,0,,Kayembe
Airport Road,TN20003 ,Lilongwe,Lilongwe,Off Grid,Prepaid,600,278,300,300,278,24036,24138,102, 2.7 ,0,0,0,0,,Airport Road
Area 49 Gulliver stadium,TN20073 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,0,490,10,4645,4655,10, 1.0 ,0,0,0,0,,Area 49 Gulliver stadium
Area 43 TBS,TNMShop,Lilongwe,Lilongwe,Grid,Prepaid,500,422,600,500,522,12312,12427,115, 4.5 ,0,0,0,0,,Area 43 TBS
Chiwuzira,TN20215 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,800,500,920,2429,2880,451, 2.0 ,0,0,0,0,,Chiwuzira
Capital Hill,TN20090 ,Lilongwe,Lilongwe,Grid,Prepaid,600,424,300,420,304,1276,1352,76, 4.0 ,0,0,0,0,,Capital Hill
Area 11,TN20010 ,Lilongwe,Lilongwe,Grid,Prepaid,600,275,200,100,375,6696,6696,0,#DIV/0!,0,0,0,0,,Area 11
Area 12 Villa,TN20013 ,Lilongwe,Lilongwe,Grid,Prepaid,100,100,159,25,234,7713,7780,67, 3.5 ,0,0,0,0,,Area 12 Villa
Area 12 PTC,TN20008 ,Lilongwe,Lilongwe,Grid,Prepaid,500,475,0,426,49,4213,4122,-91,-0.5 ,0,0,0,0,,Area 12 PTC
