Sites Name,site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
Nsanama,TN33011,South,Machinga,GRID,PREPAID,600,490,337,600,227,13710,13758,48, 3.24 ,150,,,,Nsanama
Mvuu camp,TN33006,South,Machinga,OFF GRID ,,600,1390,0,1068,322,3809,3949,140, 2.74 ,500,,,,Mvuu camp
Namanja,TN33007,South,Machinga,GRID,PREPAID,600,667,0,301,366,25100,25282,182, 2.89 ,320,,,,Namanja
Liwonde Road Block,TN32020,South,Machinga,GRID,PREPAID,600,490,0,420,70,3724,3746,22, 3.33 ,740,,,,Liwonde Road Block
Liwonde Residential,TN33003,South,Machinga,GRID,PREPAID,1000,570,0,540,30,11903,11919,16,#DIV/0!,320,,,,Liwonde Residential
Liwonde MTL,TN33002,South,Machinga,GRID,postpaid,800,400,472,580,292,3233,3305,72, 2.24 ,500,,,,Liwonde MTL
Namanolo,TN32012,South,Machinga,GRID,PREPAID,600,325,0,265,60,7729,7756,27, 6.00 ,540,,,,Namanolo
Ulongwe DG 2,TN32018,South,Machinga,GRID,POSTPAID ,600,372,1000,1000,372,8150,8356,206, 1.94 ,540,,,,Ulongwe DG 2
Mkwepere,TN33014,South,Machinga,OFF GRID,,1000,140,939,400,679,7383,7678,295, 2.19 ,790,,,,Mkwepere
MOBILE DG ZOMBA,TNMSRMOB01,South,Zomba,OFF GRID,AT CHAPOLA,1000,265,0,265,0,805,805,0,#DIV/0!,265,,,,MOBILE DG ZOMBA
Lizulu,TN21005,South,Ntcheu,OFF GRID,OFF GRID,600,217,492,477,232,29813,29874,61, 2.89 ,360,,,,Lizulu
Phombeya Fiber Repeater,TN32015,South,Balaka,GRID,OFF GRID,1000,471,0,341,130,3948,4007,59, 2.19 ,627,,,,Phombeya Fiber Repeater
Mota 3.2,TN49003,South,Balaka,OFF GRID,OFF GRID,600,497,0,196,301,1362,1429,67, 4.49 ,452,,,,Mota 3.2
Kandeu,TN21004,South,Balaka,GRID,PREPAID,600,541,0,323,218,25222,25300,78, 2.81 ,583,,,,Kandeu
Balaka  BSC,TN32002,South,Balaka,GRID,PREPAID,1000,589,0,526,63,1485,1494,9,#DIV/0!,596,,,,Balaka  BSC
Tsangano Proper,TN21016,South,Ntcheu,GRID,PREPAID,1000,100,847,880,67,2794,2854,60, 2.67 ,652,,,,Tsangano Proper
Neno,TN49005,South,neno,GRID,POSTPAID,500,755,0,607,148,2856,2913,57, 2.61 ,830,,,,Neno
Phalula,TN32014,South,Balaka,GRID,POSTPAID,1000,468,646,920,194,14086,14179,93, 2.10 ,619,,,,Phalula
Senzani,TN21014,South,Balaka,GRID,POSTPAID,1000,269,300,440,129,17255,17318,63, 2.19 ,390,,,,Senzani
Andiamo,TN32001,South,Balaka,GRID,PREPAID,1000,791,0,647,144,17241,17289,48, 3.00 ,416,,,,Andiamo
Nachitheme,TN32011,South,Balaka,GRID,POSTPAID,1000,821,0,818,3,6775,6776,1, 2.67 ,894,,,,Nachitheme
